Name,Alcoholic,Type,Taste
Muscat of Alexandria,Alcoholic,White Wine,
Vilana,Alcoholic,White Wine,
Sercial,Alcoholic,White Wine,
Secco,Alcoholic,White Wine,
Rolle,Alcoholic,White Wine,
Debit,Alcoholic,White Wine,
Crouchen,Alcoholic,White Wine,
Cortese-Trebbiano,Alcoholic,White Wine,
Colombar,Alcoholic,White Wine,
Chardonnay-Semillon,Alcoholic,White Wine,
Chardonnay-Sauvignon Blanc,Alcoholic,White Wine,
Chardonnay-Muscat,Alcoholic,White Wine,
Chardonnay-Chenin Blanc,Alcoholic,White Wine,
Cabernet Sauvignon,Alcoholic,Red Wine,
Merlot,Alcoholic,Red Wine,
Pinot Noir,Alcoholic,Red Wine,
Syrah,Alcoholic,Red Wine,
Zinfandel,Alcoholic,Red Wine,
Malbec,Alcoholic,Red Wine,
Sangiovese,Alcoholic,Red Wine,
Tempranillo,Alcoholic,Red Wine,
Nebbiolo,Alcoholic,Red Wine,
Grenache,Alcoholic,Red Wine,
Barbera,Alcoholic,Red Wine,
Carmenere,Alcoholic,Red Wine,
Petite Sirah,Alcoholic,Red Wine,
Mourvèdre,Alcoholic,Red Wine,
Touriga Nacional,Alcoholic,Red Wine,
Tannat,Alcoholic,Red Wine,
Aglianico,Alcoholic,Red Wine,
Montepulciano,Alcoholic,Red Wine,
Dolcetto,Alcoholic,Red Wine,
Gamay,Alcoholic,Red Wine,
Nero d'Avola,Alcoholic,Red Wine,
Primitivo,Alcoholic,Red Wine,
Corvina,Alcoholic,Red Wine,
Refosco,Alcoholic,Red Wine,
Bonarda,Alcoholic,Red Wine,
Zweigelt,Alcoholic,Red Wine,
Blaufränkisch,Alcoholic,Red Wine,
Mencia,Alcoholic,Red Wine,
Xinomavro,Alcoholic,Red Wine,
Baco Noir,Alcoholic,Red Wine,
Lagrein,Alcoholic,Red Wine,
Durif,Alcoholic,Red Wine,
Frappato,Alcoholic,Red Wine,
Graciano,Alcoholic,Red Wine,
Carignan,Alcoholic,Red Wine,
Monastrell,Alcoholic,Red Wine,
Counoise,Alcoholic,Red Wine,
Marzemino,Alcoholic,Red Wine,
Cinsault,Alcoholic,Red Wine,
Teroldego,Alcoholic,Red Wine,
Sagrantino,Alcoholic,Red Wine,
Brachetto,Alcoholic,Red Wine,
Lambrusco,Alcoholic,Red Wine,
Negroamaro,Alcoholic,Red Wine,
Touriga Franca,Alcoholic,Red Wine,
Touriga Nacional,Alcoholic,Red Wine,
Sousão,Alcoholic,Red Wine,
Aragonês,Alcoholic,Red Wine,
Rufete,Alcoholic,Red Wine,
Baga,Alcoholic,Red Wine,
Castelão,Alcoholic,Red Wine,
Alicante Bouschet,Alcoholic,Red Wine,
Castelao,Alcoholic,Red Wine,
Bastardo,Alcoholic,Red Wine,
Touriga,Alcoholic,Red Wine,
Trincadeira,Alcoholic,Red Wine,
Periquita,Alcoholic,Red Wine,
Aragonez,Alcoholic,Red Wine,
Alfrocheiro Preto,Alcoholic,Red Wine,
Moreto,Alcoholic,Red Wine,
Tinta Barroca,Alcoholic,Red Wine,
Tinta Roriz,Alcoholic,Red Wine,
Tinta Cão,Alcoholic,Red Wine,
Tinta Francisca,Alcoholic,Red Wine,
Tinta Amarela,Alcoholic,Red Wine,
Tinta Negra Mole,Alcoholic,Red Wine,
Tinto Fino,Alcoholic,Red Wine,
Touriga Fêmea,Alcoholic,Red Wine,
Touriga Nacional,Alcoholic,Red Wine,
Syrah-Shiraz,Alcoholic,Red Wine,
Shiraz-Viognier,Alcoholic,Red Wine,
Shiraz-Mourvedre,Alcoholic,Red Wine,
Shiraz-Merlot,Alcoholic,Red Wine,
Shiraz-Cabernet,Alcoholic,Red Wine,
Malbec-Cabernet,Alcoholic,Red Wine,
Malbec-Bonarda,Alcoholic,Red Wine,
Malbec-Barbera,Alcoholic,Red Wine,
Malbec-Syrah,Alcoholic,Red Wine,
Malbec-Petit Verdot,Alcoholic,Red Wine,
Malbec-Merlot,Alcoholic,Red Wine,
Malbec-Cabernet Franc,Alcoholic,Red Wine,
Malbec-Cabernet,Alcoholic,Red Wine,
Vodka,Alcoholic,Spirit,
Rum,Alcoholic,Spirit,
Whiskey,Alcoholic,Spirit,
Gin,Alcoholic,Spirit,
Tequila,Alcoholic,Spirit,
Brandy,Alcoholic,Spirit,
Cognac,Alcoholic,Spirit,
Bourbon,Alcoholic,Spirit,
Scotch,Alcoholic,Spirit,
Rye Whiskey,Alcoholic,Spirit,
Absinthe,Alcoholic,Spirit,
Aquavit,Alcoholic,Spirit,
Grappa,Alcoholic,Spirit,
Pisco,Alcoholic,Spirit,
Schnapps,Alcoholic,Spirit,
Soju,Alcoholic,Spirit,
Baijiu,Alcoholic,Spirit,
Shochu,Alcoholic,Spirit,
Mezcal,Alcoholic,Spirit,
Sotol,Alcoholic,Spirit,
Arak,Alcoholic,Spirit,
Rakia,Alcoholic,Spirit,
Slivovitz,Alcoholic,Spirit,
Aguardiente,Alcoholic,Spirit,
Tsipouro,Alcoholic,Spirit,
Rakomelo,Alcoholic,Spirit,
Pastis,Alcoholic,Spirit,
Ouzo,Alcoholic,Spirit,
Metaxa,Alcoholic,Spirit,
Cachaça,Alcoholic,Spirit,
Calvados,Alcoholic,Spirit,
Armagnac,Alcoholic,Spirit,
Irish Whiskey,Alcoholic,Spirit,
Canadian Whisky,Alcoholic,Spirit,
American Whiskey,Alcoholic,Spirit,
Japanese Whisky,Alcoholic,Spirit,
Brazilian Cachaça,Alcoholic,Spirit,
Venezuelan Rum,Alcoholic,Spirit,
Colombian Aguardiente,Alcoholic,Spirit,
Mexican Mezcal,Alcoholic,Spirit,
Peruvian Pisco,Alcoholic,Spirit,
Hungarian Palinka,Alcoholic,Spirit,
Czech Slivovice,Alcoholic,Spirit,
Bulgarian Rakia,Alcoholic,Spirit,
Greek Tsipouro,Alcoholic,Spirit,
Croatian Rakija,Alcoholic,Spirit,
Turkish Raki,Alcoholic,Spirit,
Armenian Aragh,Alcoholic,Spirit,
Russian Vodka,Alcoholic,Spirit,
Scottish Scotch,Alcoholic,Spirit,
French Cognac,Alcoholic,Spirit,
Spanish Brandy,Alcoholic,Spirit,
Italian Grappa,Alcoholic,Spirit,
German Schnapps,Alcoholic,Spirit,
Korean Soju,Alcoholic,Spirit,
Chinese Baijiu,Alcoholic,Spirit,
Japanese Sake,Alcoholic,Spirit,
Mexican Tequila,Alcoholic,Spirit,
Australian Rum,Alcoholic,Spirit,
Cuban Rum,Alcoholic,Spirit,
Jamaican Rum,Alcoholic,Spirit,
Trinidadian Rum,Alcoholic,Spirit,
French Calvados,Alcoholic,Spirit,
Mexican Mezcal,Alcoholic,Spirit,
Brazilian Cachaça,Alcoholic,Spirit,
American Bourbon,Alcoholic,Spirit,
Canadian Rye Whiskey,Alcoholic,Spirit,
Irish Single Malt,Alcoholic,Spirit,
Japanese Single Malt,Alcoholic,Spirit,
Indian Whiskey,Alcoholic,Spirit,
Swedish Aquavit,Alcoholic,Spirit,
Norwegian Aquavit,Alcoholic,Spirit,
Danish Akvavit,Alcoholic,Spirit,
Czech Becherovka,Alcoholic,Spirit,
Polish Żubrówka,Alcoholic,Spirit,
Hungarian Unicum,Alcoholic,Spirit,
Romanian Ţuică,Alcoholic,Spirit,
Macedonian Rakija,Alcoholic,Spirit,
Albanian Raki,Alcoholic,Spirit,
Water,Non-alcoholic,Soft,
Coca-Cola,Non-alcoholic,Soft,
Pepsi,Non-alcoholic,Soft,
Sprite,Non-alcoholic,Soft,
Coke Zero,Non-alcoholic,Soft,
Dr. Pepper,Non-alcoholic,Soft,
Fanta,Non-alcoholic,Soft,
7UP,Non-alcoholic,Soft,
Diet Coke,Non-alcoholic,Soft,
Grapefruit Soda,Non-alcoholic,Soft,
Club Soda,Non-alcoholic,Soft,
Tonic Water,Non-alcoholic,Soft,
Squirt,Non-alcoholic,Soft,
Fanta,Non-alcoholic,Soft,
Canada Dry,Non-alcoholic,Soft,
Sierra Mist,Non-alcoholic,Soft,
A&W Cream Soda,Non-alcoholic,Soft,
Sunkist,Non-alcoholic,Soft,
Crush,Non-alcoholic,Soft,
Lemonade,Non-alcoholic,Soft,
Schweppes,Non-alcoholic,Soft,
Orange Juice,Non-alcoholic,Juice,
Apple Juice,Non-alcoholic,Juice,
Grape Juice,Non-alcoholic,Juice,
Cranberry Juice,Non-alcoholic,Juice,
Pineapple Juice,Non-alcoholic,Juice,
Tomato Juice,Non-alcoholic,Juice,
Lemon Juice,Non-alcoholic,Juice,
Lime Juice,Non-alcoholic,Juice,
Grapefruit Juice,Non-alcoholic,Juice,
Mango Juice,Non-alcoholic,Juice,
Peach Juice,Non-alcoholic,Juice,
Pear Juice,Non-alcoholic,Juice,
Watermelon Juice,Non-alcoholic,Juice,
Papaya Juice,Non-alcoholic,Juice,
Passionfruit Juice,Non-alcoholic,Juice,
Kiwi Juice,Non-alcoholic,Juice,
Guava Juice,Non-alcoholic,Juice,
Pomegranate Juice,Non-alcoholic,Juice,
Blueberry Juice,Non-alcoholic,Juice,
Raspberry Juice,Non-alcoholic,Juice,
Green Tea,Non-alcoholic,Tea,
Black Tea,Non-alcoholic,Tea,
Oolong Tea,Non-alcoholic,Tea,
White Tea,Non-alcoholic,Tea,
Herbal Tea,Non-alcoholic,Tea,
Chamomile Tea,Non-alcoholic,Tea,
Peppermint Tea,Non-alcoholic,Tea,
Earl Grey Tea,Non-alcoholic,Tea,
Jasmine Tea,Non-alcoholic,Tea,
Rooibos Tea,Non-alcoholic,Tea,
Lemon Ginger Tea,Non-alcoholic,Tea,
Hibiscus Tea,Non-alcoholic,Tea,
Chai Tea,Non-alcoholic,Tea,
Matcha Tea,Non-alcoholic,Tea,
Darjeeling Tea,Non-alcoholic,Tea,
Espresso,Non-alcoholic,Coffee,
Americano,Non-alcoholic,Coffee,
Latte,Non-alcoholic,Coffee,
Cappuccino,Non-alcoholic,Coffee,
Mocha,Non-alcoholic,Coffee,
Flat White,Non-alcoholic,Coffee,
Macchiato,Non-alcoholic,Coffee,
Affogato,Non-alcoholic,Coffee,
Turkish Coffee,Non-alcoholic,Coffee,
Irish Coffee,Non-alcoholic,Coffee,
Strawberry Banana Smoothie,Non-alcoholic,Smoothie,
Mango Pineapple Smoothie,Non-alcoholic,Smoothie,
Blueberry Spinach Smoothie,Non-alcoholic,Smoothie,
Peach Raspberry Smoothie,Non-alcoholic,Smoothie,
Tropical Green Smoothie,Non-alcoholic,Smoothie,
Berry Blast Smoothie,Non-alcoholic,Smoothie,
Kiwi Coconut Smoothie,Non-alcoholic,Smoothie,
Pineapple Ginger Smoothie,Non-alcoholic,Smoothie,
Chocolate Peanut Butter Smoothie,Non-alcoholic,Smoothie,
Mixed Berry Smoothie,Non-alcoholic,Smoothie,
Vanilla Milkshake,Non-alcoholic,Milkshake,
Chocolate Milkshake,Non-alcoholic,Milkshake,
Strawberry Milkshake,Non-alcoholic,Milkshake,
Cookies and Cream Milkshake,Non-alcoholic,Milkshake,
Banana Milkshake,Non-alcoholic,Milkshake,
Coffee Milkshake,Non-alcoholic,Milkshake,
Peanut Butter Milkshake,Non-alcoholic,Milkshake,
Salted Caramel Milkshake,Non-alcoholic,Milkshake,
Mint Chocolate Chip Milkshake,Non-alcoholic,Milkshake,
Raspberry Milkshake,Non-alcoholic,Milkshake,
Virgin Mojito,Non-alcoholic,Mocktail,
Shirley Temple,Non-alcoholic,Mocktail,
Arnold Palmer,Non-alcoholic,Mocktail,
Virgin Pina Colada,Non-alcoholic,Mocktail,
Roy Rogers,Non-alcoholic,Mocktail,
Italian Cream Soda,Non-alcoholic,Mocktail,
Blueberry Lemonade,Non-alcoholic,Mocktail,
Raspberry Iced Tea,Non-alcoholic,Mocktail,
Cranberry Spritzer,Non-alcoholic,Mocktail,
Mango Lassi,Non-alcoholic,Mocktail,
